,a_CT,a_TA,Ps,F0,SPL
20780,0.46,1.0,710.0,145.34883720930233,67.27224738367765
20781,0.48,1.0,710.0,149.7005988023952,67.30603460603712
20782,0.5,1.0,710.0,153.37423312883436,67.32036888914219
20783,0.52,1.0,710.0,157.23270440251574,67.33938197403299
20784,0.54,1.0,710.0,160.77170418006432,67.35383754038628
20785,0.56,1.0,710.0,164.47368421052633,67.32075918679308
20786,0.5800000000000001,1.0,710.0,168.35016835016836,67.37725408047658
20787,0.6,1.0,710.0,171.82130584192439,67.40585234155024
20788,0.62,1.0,710.0,175.43859649122808,67.37928419859232
20789,0.64,1.0,710.0,179.21146953405017,67.41009029623329
20790,0.6599999999999999,1.0,710.0,182.4817518248175,67.37253468890125
20791,0.6799999999999999,1.0,710.0,185.87360594795538,67.44492923265972
20792,0.7,1.0,710.0,189.3939393939394,67.41756710781173
20793,0.72,1.0,710.0,193.05019305019306,67.44285677736778
20794,0.74,1.0,710.0,196.07843137254903,67.43467911522171
20795,0.76,1.0,710.0,200.0,67.34463108253881
20796,0.78,1.0,710.0,203.2520325203252,67.32377655765178
20797,0.8,1.0,710.0,207.4688796680498,67.22300339828622
20798,0.8200000000000001,1.0,710.0,210.9704641350211,67.19794392983245
20799,0.84,1.0,710.0,215.51724137931035,67.12339484335277
20800,0.86,1.0,710.0,219.2982456140351,66.97227786746168
20801,0.88,1.0,710.0,224.2152466367713,66.86837052820289
20802,0.9,1.0,710.0,229.3577981651376,66.72795668579035
20803,0.92,1.0,710.0,234.7417840375587,66.57002781700467
20804,0.94,1.0,710.0,240.3846153846154,66.4487932733736
20805,0.96,1.0,710.0,247.52475247524754,66.24945979273491
20806,0.98,1.0,710.0,253.80710659898477,66.07002697798737
20807,1.0,1.0,710.0,263.1578947368421,65.81247410858698
20808,0.0,0.0,810.0,91.74311926605505,79.94830914995268
20809,0.02,0.0,810.0,92.93680297397769,79.92330913461359
20810,0.04,0.0,810.0,93.80863039399625,79.79766921006294
20811,0.06,0.0,810.0,94.87666034155598,79.70872524379638
20812,0.08,0.0,810.0,95.60229445506693,79.65307216782223
20813,0.1,0.0,810.0,96.33911368015414,79.48334108974521
20814,0.12,0.0,810.0,97.0873786407767,79.34775773701764
20815,0.14,0.0,810.0,97.84735812133073,79.23490004846843
20816,0.16,0.0,810.0,98.61932938856016,79.04446566123676
20817,0.18,0.0,810.0,99.8003992015968,78.86078891559619
20818,0.2,0.0,810.0,100.80645161290323,78.6822397951986
20819,0.22,0.0,810.0,102.45901639344262,78.4251763457973
20820,0.24,0.0,810.0,104.16666666666667,78.2452953117529
20821,0.26,0.0,810.0,106.38297872340425,77.98213734911408
20822,0.28,0.0,810.0,108.93246187363835,77.8246894631451
20823,0.3,0.0,810.0,112.10762331838565,77.58801161651337
20824,0.32,0.0,810.0,115.47344110854503,77.46299255678183
20825,0.34,0.0,810.0,119.61722488038278,77.18537707859227
20826,0.36,0.0,810.0,123.76237623762377,76.95160949225483
20827,0.38,0.0,810.0,129.19896640826875,76.79766557152516
20828,0.4,0.0,810.0,134.77088948787062,76.76754055865375
20829,0.42,0.0,810.0,140.8450704225352,76.44613851596817
20830,0.44,0.0,810.0,147.92899408284023,76.37131794215891
20831,0.46,0.0,810.0,155.76323987538942,76.2466116289755
20832,0.48,0.0,810.0,164.47368421052633,75.99035486437559
20833,0.5,0.0,810.0,173.61111111111111,76.06474840022885
20834,0.52,0.0,810.0,183.8235294117647,75.61839071114525
20835,0.54,0.0,810.0,194.55252918287937,75.6759226235417
20836,0.56,0.0,810.0,206.61157024793388,75.27871345147938
20837,0.5800000000000001,0.0,810.0,219.2982456140351,75.01427691411884
20838,0.6,0.0,810.0,232.5581395348837,74.60246190023429
20839,0.62,0.0,810.0,246.30541871921181,74.30850856549918
20840,0.64,0.0,810.0,261.78010471204186,73.74288559938465
20841,0.6599999999999999,0.0,810.0,277.77777777777777,73.35076357924248
20842,0.6799999999999999,0.0,810.0,294.11764705882354,72.7411060447085
20843,0.7,0.0,810.0,312.5,72.35509678714209
20844,0.72,0.0,810.0,331.12582781456956,71.61726566823795
20845,0.74,0.0,810.0,352.11267605633805,71.19533419875675
20846,0.76,0.0,810.0,373.13432835820896,70.44174915736725
20847,0.78,0.0,810.0,396.8253968253968,69.89389814379112
20848,0.8,0.0,810.0,420.16806722689074,68.91905367365683
20849,0.8200000000000001,0.0,810.0,442.4778761061947,67.91265585338145
20850,0.84,0.0,810.0,471.6981132075472,67.43446867733446
20851,0.86,0.0,810.0,505.050505050505,67.00626365011786
20852,0.88,0.0,810.0,537.6344086021505,66.04791797693045
20853,0.9,0.0,810.0,574.7126436781609,65.52088861998274
20854,0.92,0.0,810.0,617.283950617284,64.9017952666233
20855,0.94,0.0,810.0,666.6666666666666,64.3138929877291
20856,0.96,0.0,810.0,704.2253521126761,63.23406124917099
20857,0.98,0.0,810.0,793.6507936507936,64.13452052365977
20858,1.0,0.0,810.0,833.3333333333334,61.336671784609024
20859,0.0,0.02,810.0,100.0,78.56341678259281
20860,0.02,0.02,810.0,101.83299389002036,78.57309350817087
20861,0.04,0.02,810.0,103.30578512396694,78.53871322311021
20862,0.06,0.02,810.0,105.04201680672269,78.52009548703296
20863,0.08,0.02,810.0,106.15711252653928,78.45567616350755
20864,0.1,0.02,810.0,107.52688172043011,78.48482606829839
20865,0.12,0.02,810.0,108.69565217391305,78.39822208084718
20866,0.14,0.02,810.0,109.89010989010988,78.32750085471518
20867,0.16,0.02,810.0,110.86474501108647,78.21449346393176
20868,0.18,0.02,810.0,112.10762331838565,78.14908134493666
20869,0.2,0.02,810.0,113.37868480725623,78.01964077750027
20870,0.22,0.02,810.0,114.6788990825688,77.82513062890266
20871,0.24,0.02,810.0,116.0092807424594,77.6417003544621
20872,0.26,0.02,810.0,117.9245283018868,77.5950313884522
20873,0.28,0.02,810.0,120.1923076923077,77.37669242172348
20874,0.3,0.02,810.0,122.54901960784314,77.26470961287112
20875,0.32,0.02,810.0,125.31328320802005,77.06475058552067
20876,0.34,0.02,810.0,128.53470437017995,76.85941729090088
20877,0.36,0.02,810.0,132.27513227513228,76.72994785944707
20878,0.38,0.02,810.0,136.986301369863,76.58762695470236
20879,0.4,0.02,810.0,141.643059490085,76.36333681254447
20880,0.42,0.02,810.0,147.05882352941177,76.2147988241776
20881,0.44,0.02,810.0,152.9051987767584,76.18384911488687
20882,0.46,0.02,810.0,159.7444089456869,76.10723544299434
20883,0.48,0.02,810.0,167.22408026755852,75.9865050120395
20884,0.5,0.02,810.0,175.43859649122808,75.76284842850158
20885,0.52,0.02,810.0,184.50184501845018,75.61139793224007
20886,0.54,0.02,810.0,194.55252918287937,75.23319176972919
20887,0.56,0.02,810.0,204.91803278688525,75.03886285575693
20888,0.5800000000000001,0.02,810.0,216.45021645021646,74.7800831323413
20889,0.6,0.02,810.0,229.3577981651376,74.25778264022937
20890,0.62,0.02,810.0,242.71844660194174,74.01394931801232
20891,0.64,0.02,810.0,256.4102564102564,73.658871515454
20892,0.6599999999999999,0.02,810.0,271.7391304347826,73.32676688288024
20893,0.6799999999999999,0.02,810.0,287.35632183908046,72.42150536369397
20894,0.7,0.02,810.0,304.8780487804878,72.08830682099892
20895,0.72,0.02,810.0,322.5806451612903,71.69243018616505
20896,0.74,0.02,810.0,342.4657534246575,71.01757345791701
20897,0.76,0.02,810.0,364.963503649635,70.46489361383918
20898,0.78,0.02,810.0,387.5968992248062,69.93422065106344
20899,0.8,0.02,810.0,406.5040650406504,68.7429122284028
20900,0.8200000000000001,0.02,810.0,431.0344827586207,68.02519540718158
20901,0.84,0.02,810.0,458.7155963302752,67.5234442350646
20902,0.86,0.02,810.0,490.19607843137254,66.95323432632476
20903,0.88,0.02,810.0,520.8333333333334,66.03854500652248
20904,0.9,0.02,810.0,561.7977528089888,65.76766070979349
20905,0.92,0.02,810.0,602.4096385542168,65.16684480334611
20906,0.94,0.02,810.0,649.3506493506494,64.59124995955585
20907,0.96,0.02,810.0,694.4444444444445,63.77203170955351
20908,0.98,0.02,810.0,746.2686567164179,63.246749464936364
20909,1.0,0.02,810.0,819.672131147541,62.87107907637163
20910,0.0,0.04,810.0,104.38413361169103,77.46290158967618
20911,0.02,0.04,810.0,106.38297872340425,77.45749429566965
20912,0.04,0.04,810.0,108.69565217391305,77.44233923477236
20913,0.06,0.04,810.0,110.61946902654867,77.49375431953533
20914,0.08,0.04,810.0,112.61261261261261,77.53682621385852
20915,0.1,0.04,810.0,114.41647597254004,77.52075580768137
20916,0.12,0.04,810.0,116.0092807424594,77.48123165678868
20917,0.14,0.04,810.0,117.6470588235294,77.52647642555154
20918,0.16,0.04,810.0,119.04761904761905,77.44250014474324
20919,0.18,0.04,810.0,120.48192771084338,77.45910459180605
