,a_CT,a_TA,PL,Ps,F0,SPL
33470,0.525,0.125,900,925.177867633113,291.089108910891,99.06052245948001
33471,0.525,0.125,950,975.983881474671,292.537313432836,99.615910016817
33472,0.525,0.125,1000,1027.83602315653,293.51081530782,100.13427619791901
33473,0.525,0.125,1050,1087.93920977425,294.0,100.64194631057401
33474,0.525,0.125,1100,1131.59246778077,294.983277591973,101.04033022166101
33475,0.525,0.125,1150,1183.18249497675,295.973154362416,101.48919868759299
33476,0.525,0.125,1200,1237.08451866298,296.969696969697,101.92544437162101
33477,0.525,0.125,1250,1293.21466489093,297.972972972973,102.243859383435
33478,0.525,0.125,1300,1344.26934575833,298.983050847458,102.68945678587
33479,0.525,0.125,1350,1399.51822385828,299.490662139219,103.05380470886499
33480,0.525,0.125,1400,1451.98659131692,300.511073253833,103.43178000102199
33481,0.525,0.125,1450,1510.6770598825,301.538461538462,103.75371298022799
33482,0.525,0.125,1500,1556.06522206737,302.054794520548,104.11806686082201
33483,0.525,0.125,1550,1618.59020636779,303.092783505155,104.507010583148
33484,0.525,0.125,1600,1659.3658371412,304.137931034483,104.79265819178099
33485,0.525,0.125,1650,1721.41768140929,305.190311418685,105.17733432324499
33486,0.525,0.125,1700,1767.12304019475,305.719237435009,105.43487287010299
33487,0.525,0.125,1750,1825.93531948286,306.782608695652,105.821428067092
33488,0.525,0.125,1800,1870.75921651783,307.853403141361,106.065371341663
33489,0.525,0.125,1850,1929.27744391939,308.391608391608,106.43793345029101
33490,0.525,0.125,1900,1979.2490225111,309.473684210526,106.729939497625
33491,0.525,0.125,1950,2032.40373722303,310.56338028169,107.04012194396199
33492,0.525,0.125,2000,2091.57197296154,311.660777385159,107.366589519619
33508,0.55,0.125,500,513.379370396058,282.692307692308,91.585044482487
33509,0.55,0.125,550,565.947133157847,284.975767366721,92.899225991656
33510,0.55,0.125,600,613.252948156347,287.296416938111,94.000001873937
33511,0.55,0.125,650,668.495319715733,288.707037643208,95.016606197735
33512,0.55,0.125,700,720.389523484786,290.609555189456,95.898750703532
33513,0.55,0.125,750,774.212778095196,292.05298013245,96.67725319519
33514,0.55,0.125,800,823.178523058498,293.023255813953,97.449502609196
33515,0.55,0.125,850,880.423971360324,294.49081803005,98.075307658799
33516,0.55,0.125,900,932.161352275693,295.477386934673,98.688310548971
33517,0.55,0.125,950,983.456431788242,296.969696969697,99.214658386461
33518,0.55,0.125,1000,1036.27300494746,297.972972972973,99.7515423603
33519,0.55,0.125,1050,1085.30648297116,298.983050847458,100.22655173579199
33520,0.55,0.125,1100,1139.49484630425,300.0,100.74806071377799
33521,0.55,0.125,1150,1191.11693211226,301.023890784983,101.20345137499001
33522,0.55,0.125,1200,1242.41490921656,302.054794520548,101.66216657506001
33523,0.55,0.125,1250,1294.89618153928,303.092783505155,102.092045378578
33524,0.55,0.125,1300,1346.3120429287,303.614457831325,102.52902954935999
33525,0.55,0.125,1350,1398.32692731953,304.663212435233,102.93311828754199
33526,0.55,0.125,1400,1455.1170144243,305.719237435009,103.32606250184801
33527,0.55,0.125,1450,1500.92089407343,306.782608695652,103.75417825738899
